Q605839	LAALAND ou LOLLAND, une des grandes îles du Danemark ; pays plat et marécageux. 15.000 h. Ch.-l. Maribo.
Q630413	LABADIE (Jean de), sectaire calviniste, né à Bourg [Guyenne] (1610-1674).
Q1066725	LA BALUE. V. Balue.
Q840401	LABAN, père de Lia et de Rachel, beau-père de Jacob (Bible).
Q725432	LA BARRE (Jean-François chevalier de), gentilhomme français qui, accusé d'avoir mutilé un crucifix, fut décapité puis brûlé (1747-1766).
Q3588043	LABARRE (Etienne), architecte français, né à Ourscamp [Oise] (1764-1833).
Q317214	LABASTIDE-CLAIRENCE, ch.-l. de c. (Basses-Pyrénées), arr. de Bayonne, sur l'Aran ; 1.350 h.
Q834276	LABASTIDE-MURAT [ra], ch.-l. de c. (Lot), arr. de Gourdon, près du Céou ; 1.300 h.
Q558167	LABAT [ba] (le Père Jean-Baptiste), missionnaire français, né à Paris. Il contribua à la colonisation de la Guadeloupe (1663-1738).
Q1961423	LABBÉ (le Père Philippe), jésuite français, savant distingué, né à Bourges (1607-1670).
Q237098	LABÉ (Louise), femme poète française, née à Lyon (1526), fille et femme de cordier, surnommée la Belle Cordière ; m. vers 1566.
Q1393973	LA BEAUMELLE (Laurent Angliviel de), littérateur, né à Valleraugue (Gard), connu par ses querelles avec Voltaire (1726-1773).
Q660916	LABÉDOYÈRE (Charles de), général français, né à Paris en 1786, fusillé en 1815.
Q379929	LABICHE (Eugène), auteur dramatique français, né à Paris. Il était doué d'une inépuisable fécondité, d'une grande verve et d'une gaieté qui font de lui le plus amusant des vaudevillistes. Nous citerons parmi ses œuvres : le Chapeau de paille d'Italie, la Cagnotte, le Voyage de M. Perrichon, l'Affaire de la rue de Lourcine, la Grammaire, etc. (1815-1888).
Q311265	LABIENUS [nuss], un des plus habiles lieutenants de César (98-45 av. J.-C.).
Q477681	LABLACHE (Louis), chanteur napolitain d'origine française, né à Naples ; doué d'une admirable voix de basse (1794-1858).
Q290227	LA BOËTIE. V. Boëtie.
Q2362791	LABORDE (Joseph comte de), homme politique et savant français, né à Paris (1774-1842).
Q3269422	LABORDE (Léon de), archéologue français, né à Paris (1807-1869).
Q16508530	LABOUAN, île d'Océanie sur la côte N.-O. de Bornéo ; aux Anglais ; 6.800 h.
Q274429	LABOULAYE [lè] (Edouard-René de), publiciste et jurisconsulte français, né à Paris, (1811-1883).
Q765893	LABOUR (terre de), prov. de l'Italie méridionale, appelée aussi prov. de Caserte ; 783.500 h. Ch.-l. Caserte.
Q14127232	Labourage nivernais (Le), tableau de Rosa Bonheur (Luxembourg) ; toile pleine de vérité (1849).
Q671023	LABOURD [bour] (pays de), petit pays dépendant de l'ancienne Gascogne, et qui avait pour chef-lieu Bayonne. (Hab. Labourdins ou Labourdans.)
Q828583	LA BOURDONNAIS [nè] (Bertrand-François Mahé de), marin français, gouverneur de l'île de France. Il combattit vaillamment les Anglais dans l'Inde (1699-1755).
Q380307	LABRADOR, presqu'île de l'Amérique anglaise (Dominion canadien), entre l'Atlantique, le détroit d'Hudson, les mers de Davis et d'Hudson ; 12.000 h. sur une surface considérable, froide et peu fertile. Pêcheries.
Q451907	LABRE (saint Benoît), chartreux, né à Ametle [Pas-de-Calais] (1748-1783).
Q244712	LABRÈDE, ch.-l. de c. (Gironde), arr. de Bordeaux ; 1.670 h. Château de Montesquieu, où est né le célèbre écrivain. Vignobles.
Q496720	LABRIT [bri], ch.-l. de c. (Landes), arr. de Mont-de-Marsan ; 1.170 h. Labrit s'appelait jadis Albret et fut la capit. du duché de ce nom.
Q466375	LA BROSSE (Pierre de), ministre de Philippe le Hardi ; pendu en 1278.
Q726257	LA BROSSE (Gui de), médecin de Louis XIII, né à Rouen ; botaniste, il conseilla la création du Jardin des Plantes ; m. en 1641.
Q3526446	LABROUSTE (Théodore), architecte français, né à Paris (1799-1885). — Son frère, Henri, architecte français, né à Paris (1801-1875).
Q1620117	LABRUGUIÈRE [ghi-è-re], ch.-l. de c. (Tarn), arr. de Castres ; 3.150 h.
Q314975	LA BRUYÈRE (Jean de), moraliste français, né à Paris. Il passa sa vie auprès du petit-fils du grand Condé, dont il était le précepteur. Il commença par traduire Théophraste et s'éleva bientôt au-dessus de son modèle : la perfection de son style et l'exactitude de ses portraits en ont fait notre plus grand peintre de mœurs. On a trouvé dans ses Caractères des allusions à l'injuste inégalité des rangs, des plaintes hardies sur l'insolence et le bonheur immérité des grands, des paroles d'indignation éloquentes sur la misère du peuple, une satire mâle et hardie de son temps (1645-1696).
Q1330952	Labyrinthe ou mieux Lope-ro-hounit, immense palais quadrangulaire (200 m. X 150 m.) qui s'élevait à l'endroit occupé aujourd'hui par le village de Hawarâ à l'E. du lac Mœris. L'intérieur se composait d'une foule de petites chambres obscures et carrées que reliait entre elles un enchevêtrement de couloirs. Il était impossible aux étrangers de trouver leur chemin dans ce dédale. C'était la ville funéraire et la pyramide d'Amenemhaît III de la xiie dynastie. — Il y avait aussi en Crète un labyrinthe que Dédale, selon la légende, aurait construit pour enfermer le minotaure. V. Dédale.
Q3223868	Lac (le), une des plus célèbres Méditations de Lamartine ; mise en musique par Niedermeyer.
Q202703	LACAILLE [ka, ll mll.] (Nicolas-Louis de), mathématicien français, né à Rumigny (1713-1762).
Q1496335	LA CALPRENÈDE (Gauthier de), romancier et auteur dramatique français, auteur de longs et ennuyeux romans précieux : Cassandre, Cléopâtre, etc. (1614-1663).
Q1332222	LACAPELLE-MARIVAL, ch.-l. de c. (Lot), arr. de Figeac ; 1.100 h.
Q901416	LACAUNE [kô-ne], ch.-l. de c. (Tarn), arr. de Castres, dans le massif des monts de Lacaune, sur le Gigou ; 3.600 h.
Q1479492	LACAZE-DUTHIERS [ti-é] (Henri-Félix de), savant zoologiste français (1821-1901).
Q3223877	Lac des fées (le), opéra en cinq actes, paroles de Scribe, musique d'Auber ; musique gracieuse et bien venue, très supérieure au livret de Scribe (1839).
Q5690	LACÉDÉMONE. V. Sparte.
Q313363	LACÉPÈDE (Etienne de), naturaliste français, né à Agen. Buffon lui confia le soin d'achever son Histoire naturelle (1756-1825).
Q2330182	LA CERDA, famille royale de Castille, dont plusieurs membres servirent en France. Elle s'éteignit au xve siècle.
Q960159	LA CHAISE [chè-ze] (le Père François de), jésuite, confesseur de Louis XIV, né au château d'Aix (Forez). Son nom est resté attaché au principal cimetière de Paris, créé sur l'emplacement de magnifiques jardins qu'il possédait (1624-1709).
Q562426	LA CHALOTAIS [tè] (Louis-René de), procureur général au parlement de Bretagne, né à Rennes. Il provoqua la suppression des jésuites (1701-1785).
Q1346280	LACHAMBEAUDIE [chan-bô-di] (Pierre), fabuliste français, né à Sarlat, écrivain agréable et élégant (1807-1872).
Q730427	LACHAMBRE (Marin Cureau de), médecin de Louis XIV, né au Mans (1594-1669).
Q3175477	LA CHAPELLE (Jean de), littérateur et auteur dramatique français, né à Bourges (1655-1723).
Q3086336	LA CHÂTEIGNERAIE. V. Chateigneraie.
Q2959543	LACHAUD [chô] (Charles-Alexandre), avocat français, né à Treignac [Corrèze] (1818-1882).
