Q29466	Kaaba, petit édifice carré qui se trouve dans la principale mosquée de La Mecque, et vers lequel se tournent les musulmans en prières.
Q924833	KAARTA, pays de l'Afrique-Occidentale française, sur la r. dr. du Sénégal ; 300.000 h. environ. Ch.-l. Nioro.
Q1678011	KABLÉ (Jacques), homme politique alsacien, né à Brumath (1830-1887).
Q5838	KABOUL ou CABOUL, capit. de l'Afghanistan, sur la rivière de Kaboul, affl. de l'Indus ; 60.000 h. Forte citadelle.
Q46178	KABYLIE, partie de l'Algérie à l'E. d'Alger, dans les dép. d'Alger et de Constantine. Elle se divise en Grande Kabylie et Petite Kabylie. Le Djurdjura est dans la Grande Kabylie. Les principaux cours d'eau sont l'Isser, le Sahel et le Sebaou. Les Kabyles, sédentaires et agriculteurs, sont de race berbère.
Q240475	KÂCHAN, v. de Perse (Irak-Adjemi), au centre du plateau de l'Iran ; 70.000 h.
Q170521	KACHGAR, v. du Turkestan chinois, sur le Kachgar-Daria ; 50.000 h. Commerce important.
Q189326	KADJARS, dynastie turcomane qui occupe le trône de Perse depuis 1786.
Q4135566	KAFFA. V. Caffa.
Q1377990	KAFFA, prov. d'Ethiopie, au S. du Choa. C'est la patrie du café.
Q1721082	KÂFIRISTAN, pays situé dans la vallée de l'Hindou-Kouch, au N. de l'Afghanistan ; 200.000 h.
Q15674	KAGOSIMA, v. et port du Japon, dans l'île de Kiou-Siou ; 60.000 h.
Q208471	KAÏ-FOUNG, v. de la Chine centrale, ch.-l. du Ho-Nan ; 100.000 h. environ.
Q2346358	KAÏNARDJI. V. Koutchouk.
Q179570	KAIROUAN, v. de Tunisie ; 25.000 h. (Kairouannais). Occupée par les Français en 1881.
Q48338	KAISARIÈH, v. de la Turquie d'Asie (Anatolie), sur un affl. du Kara-Sou ; 72.000 h. C'est l'ancienne Césarée (Cæsarea).
Q83485	KAISERSBERG, anc. ch.-l. de c. (Haut-Rhin), cédé à l'Allemagne en 1871 ; 2.700 h. Vignoble.
Q3758	KAISERSLAUTERN, v. de la Bavière rhénane, près de la Lauter ; 48.000 h.
Q47700	KALAHARI (désert de), entre le lac Ngami et le fleuve Orange (Afrique méridionale).
Q167895	KALAMATA, v. et port de Grèce (Messénie), sur le Nedon ; 4.000 h.
Q58650	KALGAN, v. de Chine (Pétchili), sur le tracé de la Grande Muraille ; 70.000 h. environ.
Q216161	KALGOUIEV, île russe de l'océan Glacial arctique, au N. de la Russie. Chasse des oiseaux de mer et des animaux à fourrure.
Q7011	KALIDASA ou CALIDASA, poète sanscrit du ier siècle av. J.-C., auteur de deux beaux drames : Sakountala et Ourvaçi.
